Quarter Ending,HSC Trust,Diagnostic Service,Recommended Waiting Time,Category,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,> 26 - 36 weeks,> 36 weeks,> 36 - 52 weeks,> 52 - 65 weeks,> 65 - 78 weeks,> 78 weeks,Total,,,,
31-Mar-08,Western,Peripheral neurophysiology,9 week,Physiological Measurement,10,0,4,0,0,0,.,0,.,.,.,.,14,,,,
31-Mar-08,Western,Pressures and flows,9 week,Physiological Measurement,28,0,47,0,0,0,.,0,.,.,.,.,75,,,,
31-Mar-08,Western,Pure tone audiometry,9 week,Physiological Measurement,66,0,60,0,0,0,.,0,.,.,.,.,126,,,,
31-Mar-08,Western,Radio-Nuclide Imaging,9 week,Imaging,121,0,0,0,0,0,.,0,.,.,.,.,121,,,,
31-Mar-08,Western,Sleep studies,9 week,Physiological Measurement,65,0,15,0,0,0,.,0,.,.,.,.,80,,,,
30-Jun-08,Belfast,Barium Studies,9 week,Imaging,196,80,21,0,0,0,.,0,.,.,.,.,297,,,,
30-Jun-08,Belfast,Colonoscopy,13 week,Endoscopy,337,138,142,124,0,0,.,0,.,.,.,.,741,,,,
30-Jun-08,Belfast,Computerised Tomography,9 week,Imaging,939,150,165,0,0,0,.,0,.,.,.,.,"1,254",,,,
30-Jun-08,Belfast,Cystoscopy,13 week,Endoscopy,399,130,130,110,0,0,.,0,.,.,.,.,769,,,,
30-Jun-08,Belfast,DEXA Scan,9 week,Imaging,266,98,20,0,0,0,.,0,.,.,.,.,384,,,,
30-Jun-08,Belfast,Echocardiography,9 week,Physiological Measurement,768,79,73,0,0,0,.,0,.,.,.,.,920,,,,
30-Jun-08,Belfast,Flexi sigmoidoscopy,13 week,Endoscopy,174,48,52,60,0,0,.,0,.,.,.,.,334,,,,
30-Jun-08,Belfast,Gastroscopy,13 week,Endoscopy,628,223,232,167,0,0,.,0,.,.,.,.,"1,250",,,,
30-Jun-08,Belfast,Magnetic Resonance Imaging,9 week,Imaging,"1,427",292,168,0,0,0,.,0,.,.,.,.,"1,887",,,,
30-Jun-08,Belfast,Non-obstetric ultrasound,9 week,Imaging,"1,178",260,66,0,0,0,.,0,.,.,.,.,"1,504",,,,
30-Jun-08,Belfast,Perfusion studies,9 week,Physiological Measurement,278,46,5,0,0,0,.,0,.,.,.,.,329,,,,
30-Jun-08,Belfast,Peripheral neurophysiology,9 week,Physiological Measurement,403,197,174,0,0,0,.,0,.,.,.,.,774,,,,
30-Jun-08,Belfast,Pressures and flows,9 week,Physiological Measurement,84,12,10,0,0,0,.,0,.,.,.,.,106,,,,
30-Jun-08,Belfast,Pure tone audiometry,9 week,Physiological Measurement,102,10,4,0,0,0,.,0,.,.,.,.,116,,,,
30-Jun-08,Belfast,Radio-Nuclide Imaging,9 week,Imaging,238,16,14,0,0,0,.,0,.,.,.,.,268,,,,
30-Jun-08,Belfast,Sleep studies,9 week,Physiological Measurement,150,77,33,0,0,0,.,0,.,.,.,.,260,,,,
30-Jun-08,Northern,Barium Studies,9 week,Imaging,105,4,0,0,0,0,.,0,.,.,.,.,109,,,,
30-Jun-08,Northern,Colonoscopy,13 week,Endoscopy,250,68,87,87,0,0,.,0,.,.,.,.,492,,,,
30-Jun-08,Northern,Computerised Tomography,9 week,Imaging,332,7,2,0,0,0,.,0,.,.,.,.,341,,,,
30-Jun-08,Northern,Cystoscopy,13 week,Endoscopy,101,20,21,23,0,0,.,0,.,.,.,.,165,,,,
30-Jun-08,Northern,Echocardiography,9 week,Physiological Measurement,426,187,120,0,0,0,.,0,.,.,.,.,733,,,,
30-Jun-08,Northern,Flexi sigmoidoscopy,13 week,Endoscopy,150,54,37,6,0,0,.,0,.,.,.,.,247,,,,
30-Jun-08,Northern,Gastroscopy,13 week,Endoscopy,387,154,179,138,0,0,.,0,.,.,.,.,858,,,,
30-Jun-08,Northern,Magnetic Resonance Imaging,9 week,Imaging,395,131,36,0,0,0,.,0,.,.,.,.,562,,,,
30-Jun-08,Northern,Non-obstetric ultrasound,9 week,Imaging,891,16,0,0,0,0,.,0,.,.,.,.,907,,,,
30-Jun-08,Northern,Perfusion studies,9 week,Physiological Measurement,38,20,11,0,0,0,.,0,.,.,.,.,69,,,,
30-Jun-08,Northern,Pressures and flows,9 week,Physiological Measurement,33,22,11,0,0,0,.,0,.,.,.,.,66,,,,
30-Jun-08,Northern,Pure tone audiometry,9 week,Physiological Measurement,35,15,3,0,0,0,.,0,.,.,.,.,53,,,,
30-Jun-08,Northern,Radio-Nuclide Imaging,9 week,Imaging,131,5,0,0,0,0,.,0,.,.,.,.,136,,,,
30-Jun-08,Southern,Barium Studies,9 week,Imaging,460,50,4,0,0,0,.,0,.,.,.,.,514,,,,
30-Jun-08,Southern,Colonoscopy,13 week,Endoscopy,221,90,124,87,0,0,.,0,.,.,.,.,522,,,,
30-Jun-08,Southern,Computerised Tomography,9 week,Imaging,493,44,2,0,0,0,.,0,.,.,.,.,539,,,,
30-Jun-08,Southern,Cystoscopy,13 week,Endoscopy,184,83,67,69,0,0,.,0,.,.,.,.,403,,,,
30-Jun-08,Southern,DEXA Scan,9 week,Imaging,286,26,1,0,0,0,.,0,.,.,.,.,313,,,,
30-Jun-08,Southern,Echocardiography,9 week,Physiological Measurement,478,120,34,0,0,0,.,0,.,.,.,.,632,,,,
30-Jun-08,Southern,Flexi sigmoidoscopy,13 week,Endoscopy,89,39,45,29,0,0,.,0,.,.,.,.,202,,,,
30-Jun-08,Southern,Gastroscopy,13 week,Endoscopy,346,163,166,122,0,0,.,0,.,.,.,.,797,,,,
30-Jun-08,Southern,Magnetic Resonance Imaging,9 week,Imaging,367,22,1,0,0,0,.,0,.,.,.,.,390,,,,
30-Jun-08,Southern,Non-obstetric ultrasound,9 week,Imaging,"1,077",64,13,0,0,0,.,0,.,.,.,.,"1,154",,,,
30-Jun-08,Southern,Perfusion studies,9 week,Physiological Measurement,76,14,4,0,0,0,.,0,.,.,.,.,94,,,,
30-Jun-08,Southern,Peripheral neurophysiology,9 week,Physiological Measurement,205,63,28,0,0,0,.,0,.,.,.,.,296,,,,
30-Jun-08,Southern,Pressures and flows,9 week,Physiological Measurement,62,25,18,0,0,0,.,0,.,.,.,.,105,,,,
30-Jun-08,Southern,Pure tone audiometry,9 week,Physiological Measurement,205,53,27,0,0,0,.,0,.,.,.,.,285,,,,
30-Jun-08,Southern,Radio-Nuclide Imaging,9 week,Imaging,83,6,1,0,0,0,.,0,.,.,.,.,90,,,,
30-Jun-08,Southern,Sleep studies,9 week,Physiological Measurement,28,1,0,0,0,0,.,0,.,.,.,.,29,,,,
30-Jun-08,South Eastern,Barium Studies,9 week,Imaging,80,3,1,0,0,0,.,0,.,.,.,.,84,,,,
30-Jun-08,South Eastern,Colonoscopy,13 week,Endoscopy,295,64,66,22,0,0,.,0,.,.,.,.,447,,,,
30-Jun-08,South Eastern,Computerised Tomography,9 week,Imaging,368,47,44,0,0,0,.,0,.,.,.,.,459,,,,
30-Jun-08,South Eastern,Cystoscopy,13 week,Endoscopy,128,25,33,4,0,0,.,0,.,.,.,.,190,,,,
30-Jun-08,South Eastern,DEXA Scan,9 week,Imaging,27,11,39,0,0,0,.,0,.,.,.,.,77,,,,
30-Jun-08,South Eastern,Echocardiography,9 week,Physiological Measurement,227,12,1,0,0,0,.,0,.,.,.,.,240,,,,
30-Jun-08,South Eastern,Flexi sigmoidoscopy,13 week,Endoscopy,144,19,13,6,0,0,.,0,.,.,.,.,182,,,,
30-Jun-08,South Eastern,Gastroscopy,13 week,Endoscopy,546,119,77,54,0,0,.,0,.,.,.,.,796,,,,
30-Jun-08,South Eastern,Magnetic Resonance Imaging,9 week,Imaging,243,46,43,0,0,0,.,0,.,.,.,.,332,,,,
30-Jun-08,South Eastern,Non-obstetric ultrasound,9 week,Imaging,"1,100",319,101,0,0,0,.,0,.,.,.,.,"1,520",,,,
30-Jun-08,South Eastern,Pressures and flows,9 week,Physiological Measurement,18,0,0,0,0,0,.,0,.,.,.,.,18,,,,
30-Jun-08,South Eastern,Pure tone audiometry,9 week,Physiological Measurement,20,8,0,0,0,0,.,0,.,.,.,.,28,,,,
30-Jun-08,Western,Barium Studies,9 week,Imaging,140,0,0,0,0,0,.,0,.,.,.,.,140,,,,
30-Jun-08,Western,Colonoscopy,13 week,Endoscopy,222,46,40,21,0,0,.,0,.,.,.,.,329,,,,
30-Jun-08,Western,Computerised Tomography,9 week,Imaging,302,1,0,0,0,0,.,0,.,.,.,.,303,,,,
30-Jun-08,Western,Cystoscopy,13 week,Endoscopy,51,22,17,6,0,1,.,1,.,.,.,.,97,,,,
30-Jun-08,Western,DEXA Scan,9 week,Imaging,61,0,0,0,0,0,.,0,.,.,.,.,61,,,,
30-Jun-08,Western,Echocardiography,9 week,Physiological Measurement,229,88,15,0,0,0,.,0,.,.,.,.,332,,,,
30-Jun-08,Western,Flexi sigmoidoscopy,13 week,Endoscopy,213,67,36,12,0,0,.,0,.,.,.,.,328,,,,
30-Jun-08,Western,Gastroscopy,13 week,Endoscopy,400,94,125,61,0,0,.,0,.,.,.,.,680,,,,
30-Jun-08,Western,Magnetic Resonance Imaging,9 week,Imaging,310,52,126,0,0,0,.,0,.,.,.,.,488,,,,
30-Jun-08,Western,Non-obstetric ultrasound,9 week,Imaging,890,80,0,0,0,0,.,0,.,.,.,.,970,,,,
30-Jun-08,Western,Perfusion studies,9 week,Physiological Measurement,6,5,0,0,0,0,.,0,.,.,.,.,11,,,,
30-Jun-08,Western,Peripheral neurophysiology,9 week,Physiological Measurement,5,1,0,0,0,0,.,0,.,.,.,.,6,,,,
30-Jun-08,Western,Pressures and flows,9 week,Physiological Measurement,49,21,9,0,0,0,.,0,.,.,.,.,79,,,,
30-Jun-08,Western,Pure tone audiometry,9 week,Physiological Measurement,62,11,6,0,0,0,.,0,.,.,.,.,79,,,,
30-Jun-08,Western,Radio-Nuclide Imaging,9 week,Imaging,154,0,0,0,0,0,.,0,.,.,.,.,154,,,,
30-Jun-08,Western,Sleep studies,9 week,Physiological Measurement,69,1,2,0,0,0,.,0,.,.,.,.,72,,,,
30-Sep-08,Belfast,Barium Studies,9 week,Imaging,285,37,13,0,0,0,.,0,.,.,.,.,335,,,,
30-Sep-08,Belfast,Colonoscopy,13 week,Endoscopy,303,105,147,118,0,0,.,0,.,.,.,.,673,,,,
30-Sep-08,Belfast,Computerised Tomography,9 week,Imaging,986,129,146,0,0,0,.,0,.,.,.,.,"1,261",,,,
30-Sep-08,Belfast,Cystoscopy,13 week,Endoscopy,323,146,138,104,0,0,.,0,.,.,.,.,711,,,,
30-Sep-08,Belfast,DEXA Scan,9 week,Imaging,286,39,0,0,0,0,.,0,.,.,.,.,325,,,,
30-Sep-08,Belfast,Echocardiography,9 week,Physiological Measurement,548,55,139,0,0,0,.,0,.,.,.,.,742,,,,
30-Sep-08,Belfast,Flexi sigmoidoscopy,13 week,Endoscopy,179,64,49,47,0,0,.,0,.,.,.,.,339,,,,
30-Sep-08,Belfast,Gastroscopy,13 week,Endoscopy,618,184,219,193,0,0,.,0,.,.,.,.,"1,214",,,,
30-Sep-08,Belfast,Magnetic Resonance Imaging,9 week,Imaging,"1,063",331,120,0,0,0,.,0,.,.,.,.,"1,514",,,,
30-Sep-08,Belfast,Non-obstetric ultrasound,9 week,Imaging,"1,170",393,98,0,0,0,.,0,.,.,.,.,"1,661",,,,
30-Sep-08,Belfast,Perfusion studies,9 week,Physiological Measurement,218,81,38,1,0,0,.,0,.,.,.,.,338,,,,
30-Sep-08,Belfast,Peripheral neurophysiology,9 week,Physiological Measurement,486,198,136,0,0,0,.,0,.,.,.,.,820,,,,
30-Sep-08,Belfast,Pressures and flows,9 week,Physiological Measurement,113,21,13,1,0,0,.,0,.,.,.,.,148,,,,
30-Sep-08,Belfast,Pure tone audiometry,9 week,Physiological Measurement,127,15,3,0,0,0,.,0,.,.,.,.,145,,,,
30-Sep-08,Belfast,Radio-Nuclide Imaging,9 week,Imaging,210,15,2,0,0,0,.,0,.,.,.,.,227,,,,
30-Sep-08,Belfast,Sleep studies,9 week,Physiological Measurement,116,63,16,0,0,0,.,0,.,.,.,.,195,,,,
30-Sep-08,Northern,Barium Studies,9 week,Imaging,81,10,5,0,0,0,.,0,.,.,.,.,96,,,,
30-Sep-08,Northern,Colonoscopy,13 week,Endoscopy,382,126,138,154,0,0,.,0,.,.,.,.,800,,,,
30-Sep-08,Northern,Computerised Tomography,9 week,Imaging,330,10,0,0,0,0,.,0,.,.,.,.,340,,,,
30-Sep-08,Northern,Cystoscopy,13 week,Endoscopy,60,46,37,17,0,0,.,0,.,.,.,.,160,,,,
30-Sep-08,Northern,Echocardiography,9 week,Physiological Measurement,402,130,74,0,0,0,.,0,.,.,.,.,606,,,,
30-Sep-08,Northern,Flexi sigmoidoscopy,13 week,Endoscopy,164,52,33,21,0,0,.,0,.,.,.,.,270,,,,
30-Sep-08,Northern,Gastroscopy,13 week,Endoscopy,466,189,147,187,0,0,.,0,.,.,.,.,989,,,,
30-Sep-08,Northern,Magnetic Resonance Imaging,9 week,Imaging,428,61,0,0,0,0,.,0,.,.,.,.,489,,,,
30-Sep-08,Northern,Non-obstetric ultrasound,9 week,Imaging,784,108,4,0,0,0,.,0,.,.,.,.,896,,,,
30-Sep-08,Northern,Perfusion studies,9 week,Physiological Measurement,43,17,22,6,0,0,.,0,.,.,.,.,88,,,,
30-Sep-08,Northern,Pressures and flows,9 week,Physiological Measurement,60,41,16,0,0,0,.,0,.,.,.,.,117,,,,
30-Sep-08,Northern,Pure tone audiometry,9 week,Physiological Measurement,30,9,2,0,0,0,.,0,.,.,.,.,41,,,,
30-Sep-08,Northern,Radio-Nuclide Imaging,9 week,Imaging,132,24,0,0,0,0,.,0,.,.,.,.,156,,,,
30-Sep-08,Southern,Barium Studies,9 week,Imaging,424,75,7,0,0,0,.,0,.,.,.,.,506,,,,
30-Sep-08,Southern,Colonoscopy,13 week,Endoscopy,186,81,80,129,0,0,.,0,.,.,.,.,476,,,,
30-Sep-08,Southern,Computerised Tomography,9 week,Imaging,378,71,20,0,0,0,.,0,.,.,.,.,469,,,,
30-Sep-08,Southern,Cystoscopy,13 week,Endoscopy,165,64,80,94,0,0,.,0,.,.,.,.,403,,,,
30-Sep-08,Southern,DEXA Scan,9 week,Imaging,287,18,0,0,0,0,.,0,.,.,.,.,305,,,,
30-Sep-08,Southern,Echocardiography,9 week,Physiological Measurement,445,130,97,0,0,0,.,0,.,.,.,.,672,,,,
30-Sep-08,Southern,Flexi sigmoidoscopy,13 week,Endoscopy,62,35,30,60,0,0,.,0,.,.,.,.,187,,,,
30-Sep-08,Southern,Gastroscopy,13 week,Endoscopy,330,81,112,152,0,0,.,0,.,.,.,.,675,,,,
30-Sep-08,Southern,Magnetic Resonance Imaging,9 week,Imaging,206,5,0,0,0,0,.,0,.,.,.,.,211,,,,
30-Sep-08,Southern,Non-obstetric ultrasound,9 week,Imaging,"1,211",134,19,0,0,0,.,0,.,.,.,.,"1,364",,,,
30-Sep-08,Southern,Perfusion studies,9 week,Physiological Measurement,6,8,0,0,0,0,.,0,.,.,.,.,14,,,,
30-Sep-08,Southern,Peripheral neurophysiology,9 week,Physiological Measurement,191,43,20,0,0,0,.,0,.,.,.,.,254,,,,
30-Sep-08,Southern,Pressures and flows,9 week,Physiological Measurement,45,15,12,0,0,0,.,0,.,.,.,.,72,,,,
30-Sep-08,Southern,Pure tone audiometry,9 week,Physiological Measurement,177,47,30,0,0,0,.,0,.,.,.,.,254,,,,
30-Sep-08,Southern,Radio-Nuclide Imaging,9 week,Imaging,68,3,7,0,0,0,.,0,.,.,.,.,78,,,,
30-Sep-08,Southern,Sleep studies,9 week,Physiological Measurement,25,11,3,0,0,0,.,0,.,.,.,.,39,,,,
30-Sep-08,South Eastern,Barium Studies,9 week,Imaging,168,14,1,0,0,0,.,0,.,.,.,.,183,,,,
30-Sep-08,South Eastern,Colonoscopy,13 week,Endoscopy,281,76,64,76,0,0,.,0,.,.,.,.,497,,,,
30-Sep-08,South Eastern,Computerised Tomography,9 week,Imaging,366,39,1,0,0,0,.,0,.,.,.,.,406,,,,
30-Sep-08,South Eastern,Cystoscopy,13 week,Endoscopy,134,30,16,6,0,0,.,0,.,.,.,.,186,,,,
30-Sep-08,South Eastern,DEXA Scan,9 week,Imaging,70,13,1,0,0,0,.,0,.,.,.,.,84,,,,
30-Sep-08,South Eastern,Echocardiography,9 week,Physiological Measurement,207,68,3,0,0,0,.,0,.,.,.,.,278,,,,
30-Sep-08,South Eastern,Flexi sigmoidoscopy,13 week,Endoscopy,130,18,16,18,0,0,.,0,.,.,.,.,182,,,,
30-Sep-08,South Eastern,Gastroscopy,13 week,Endoscopy,462,106,120,113,0,0,.,0,.,.,.,.,801,,,,
30-Sep-08,South Eastern,Magnetic Resonance Imaging,9 week,Imaging,247,56,32,0,0,0,.,0,.,.,.,.,335,,,,
30-Sep-08,South Eastern,Non-obstetric ultrasound,9 week,Imaging,"1,071",419,133,0,0,0,.,0,.,.,.,.,"1,623",,,,
30-Sep-08,South Eastern,Pressures and flows,9 week,Physiological Measurement,37,12,5,0,0,0,.,0,.,.,.,.,54,,,,
30-Sep-08,South Eastern,Pure tone audiometry,9 week,Physiological Measurement,20,6,7,0,0,0,.,0,.,.,.,.,33,,,,
30-Sep-08,Western,Barium Studies,9 week,Imaging,194,0,0,0,0,0,.,0,.,.,.,.,194,,,,
30-Sep-08,Western,Colonoscopy,13 week,Endoscopy,223,100,92,40,0,0,.,0,.,.,.,.,455,,,,
30-Sep-08,Western,Computerised Tomography,9 week,Imaging,193,0,0,0,0,0,.,0,.,.,.,.,193,,,,
30-Sep-08,Western,Cystoscopy,13 week,Endoscopy,110,34,44,29,0,0,.,0,.,.,.,.,217,,,,
30-Sep-08,Western,DEXA Scan,9 week,Imaging,138,0,0,0,0,0,.,0,.,.,.,.,138,,,,
30-Sep-08,Western,Echocardiography,9 week,Physiological Measurement,214,81,18,0,0,0,.,0,.,.,.,.,313,,,,
30-Sep-08,Western,Flexi sigmoidoscopy,13 week,Endoscopy,184,60,28,15,0,0,.,0,.,.,.,.,287,,,,
30-Sep-08,Western,Gastroscopy,13 week,Endoscopy,364,122,86,45,0,0,.,0,.,.,.,.,617,,,,
30-Sep-08,Western,Magnetic Resonance Imaging,9 week,Imaging,310,5,90,0,0,0,.,0,.,.,.,.,405,,,,
30-Sep-08,Western,Non-obstetric ultrasound,9 week,Imaging,996,75,0,0,0,0,.,0,.,.,.,.,"1,071",,,,
30-Sep-08,Western,Perfusion studies,9 week,Physiological Measurement,22,6,2,0,0,0,.,0,.,.,.,.,30,,,,
30-Sep-08,Western,Peripheral neurophysiology,9 week,Physiological Measurement,7,0,0,0,0,0,.,0,.,.,.,.,7,,,,
