Month,HSC Trust,Category of test,Test,Priority,0-2 days,3-7 days,8-14 days,15-21 days,22-28 days,>28 days,Total,% reported within 2 days,% reported within 2 weeks,% reported within 4 weeks,,
31-Oct-2010,Northern,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"2,008",109,16,56,22,22,"2,233",,95.5,99.0,,
31-Oct-2010,Northern,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,440,8,1,0,0,1,450,97.8,,,,
31-Oct-2010,Northern,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,39,31,20,16,1,1,108,,83.3,99.1,,
31-Oct-2010,Northern,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,57,5,0,0,0,0,62,91.9,,,,
31-Oct-2010,Northern,PHYSIOLOGICAL MEASUREMENT,AUDIOLOGY - PURE TONE AUDIOMETRY,ROUTINE,"1,335",0,0,0,0,0,"1,335",,100.0,100.0,,
31-Oct-2010,Northern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,225,24,5,7,64,76,401,,63.3,81.0,,
31-Oct-2010,Northern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,19,1,1,0,0,0,21,90.5,,,,
31-Oct-2010,Northern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - PERFUSION STUDIES,ROUTINE,9,16,1,0,0,0,26,,100.0,100.0,,
31-Oct-2010,Northern,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,ROUTINE,0,5,0,3,0,0,8,,62.5,100.0,,
31-Oct-2010,South Eastern,IMAGING,BARIUM ENEMA,ROUTINE,76,12,4,1,0,0,93,,98.9,100.0,,
31-Oct-2010,South Eastern,IMAGING,BARIUM ENEMA,URGENT,2,0,0,0,0,0,2,100.0,,,,
31-Oct-2010,South Eastern,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,"1,048",133,17,0,1,0,"1,199",,99.9,100.0,,
31-Oct-2010,South Eastern,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,204,29,1,0,0,0,234,87.2,,,,
31-Oct-2010,South Eastern,IMAGING,DEXA SCAN,ROUTINE,59,10,1,0,0,0,70,,100.0,100.0,,
31-Oct-2010,South Eastern,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,263,138,33,2,1,1,438,,99.1,99.8,,
31-Oct-2010,South Eastern,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,33,16,2,0,0,0,51,64.7,,,,
31-Oct-2010,South Eastern,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,616",195,103,65,3,12,"1,994",,96.0,99.4,,
31-Oct-2010,South Eastern,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,90,12,0,0,0,0,102,88.2,,,,
31-Oct-2010,South Eastern,PHYSIOLOGICAL MEASUREMENT,AUDIOLOGY - PURE TONE AUDIOMETRY,ROUTINE,771,0,0,0,0,0,771,,100.0,100.0,,
31-Oct-2010,South Eastern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,355,142,13,9,1,4,524,,97.3,99.2,,
31-Oct-2010,South Eastern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,37,1,0,1,0,2,41,90.2,,,,
31-Oct-2010,South Eastern,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,ROUTINE,17,7,1,0,0,0,25,,100.0,100.0,,
31-Oct-2010,Southern,IMAGING,BARIUM ENEMA,ROUTINE,26,43,35,22,16,13,155,,67.1,91.6,,
31-Oct-2010,Southern,IMAGING,BARIUM ENEMA,URGENT,27,27,14,2,5,5,80,33.8,,,,
31-Oct-2010,Southern,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,452,72,43,106,52,25,750,,75.6,96.7,,
31-Oct-2010,Southern,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,698,70,67,59,25,10,929,75.1,,,,
31-Oct-2010,Southern,IMAGING,DEXA SCAN,ROUTINE,173,66,0,0,0,0,239,,100.0,100.0,,
31-Oct-2010,Southern,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,158,113,66,28,13,4,382,,88.2,99.0,,
31-Oct-2010,Southern,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,202,48,17,2,0,2,271,74.5,,,,
31-Oct-2010,Southern,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,633",147,61,21,7,14,"1,883",,97.8,99.3,,
31-Oct-2010,Southern,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,680,55,19,1,4,1,760,89.5,,,,
31-Oct-2010,Southern,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,38,50,18,8,6,3,123,,86.2,97.6,,
31-Oct-2010,Southern,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,52,42,8,1,0,1,104,50.0,,,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,AUDIOLOGY - PURE TONE AUDIOMETRY,ROUTINE,126,16,3,0,2,0,147,,98.6,100.0,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,AUDIOLOGY - PURE TONE AUDIOMETRY,URGENT,2,0,0,0,0,0,2,100.0,,,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,245,107,26,11,5,25,419,,90.2,94.0,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,84,29,8,2,2,11,136,61.8,,,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,ROUTINE,39,9,0,0,0,0,48,,100.0,100.0,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,URGENT,5,0,0,0,0,0,5,100.0,,,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,RESPIRATORY PHYSIOLOGY - SLEEP STUDIES,ROUTINE,21,0,0,0,0,0,21,,100.0,100.0,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,RESPIRATORY PHYSIOLOGY - SLEEP STUDIES,URGENT,3,0,0,0,0,0,3,100.0,,,,
31-Oct-2010,Southern,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,ROUTINE,3,9,5,8,7,3,35,,48.6,91.4,,
31-Oct-2010,Western,IMAGING,BARIUM ENEMA,ROUTINE,92,3,0,0,0,0,95,,100.0,100.0,,
31-Oct-2010,Western,IMAGING,BARIUM ENEMA,URGENT,11,1,0,0,0,0,12,91.7,,,,
31-Oct-2010,Western,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,812,50,10,4,4,0,880,,99.1,100.0,,
31-Oct-2010,Western,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,408,70,11,1,0,0,490,83.3,,,,
31-Oct-2010,Western,IMAGING,DEXA SCAN,ROUTINE,284,50,0,0,1,0,335,,99.7,100.0,,
31-Oct-2010,Western,IMAGING,DEXA SCAN,URGENT,39,0,0,0,0,0,39,100.0,,,,
31-Oct-2010,Western,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,47,26,13,2,0,2,90,,95.6,97.8,,
31-Oct-2010,Western,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,126,58,12,5,2,2,205,61.5,,,,
31-Oct-2010,Western,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,692",97,54,50,57,43,"1,993",,92.5,97.8,,
31-Oct-2010,Western,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,433,47,12,2,4,3,501,86.4,,,,
31-Oct-2010,Western,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,75,24,9,2,0,2,112,,96.4,98.2,,
31-Oct-2010,Western,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,70,17,8,0,0,4,99,70.7,,,,
31-Oct-2010,Western,PHYSIOLOGICAL MEASUREMENT,AUDIOLOGY - PURE TONE AUDIOMETRY,ROUTINE,20,0,0,0,0,0,20,,100.0,100.0,,
31-Oct-2010,Western,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,6,5,14,2,0,1,28,,89.3,96.4,,
30-Nov-2010,Belfast,IMAGING,BARIUM ENEMA,ROUTINE,121,25,7,2,0,0,155,,98.7,100.0,,
30-Nov-2010,Belfast,IMAGING,BARIUM ENEMA,URGENT,11,0,0,0,0,0,11,100.0,,,,
30-Nov-2010,Belfast,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,"1,716",294,75,72,26,43,"2,226",,93.7,98.1,,
30-Nov-2010,Belfast,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,287,42,10,6,2,7,354,81.1,,,,
30-Nov-2010,Belfast,IMAGING,DEXA SCAN,ROUTINE,2,1,2,0,1,2,8,,62.5,75.0,,
30-Nov-2010,Belfast,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,939,718,230,89,56,241,"2,273",,83.0,89.4,,
30-Nov-2010,Belfast,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,172,42,8,6,2,0,230,74.8,,,,
30-Nov-2010,Belfast,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,273",123,69,33,11,34,"1,543",,94.9,97.8,,
30-Nov-2010,Belfast,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,330,8,2,4,0,4,348,94.8,,,,
30-Nov-2010,Belfast,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,209,64,8,6,2,1,290,,96.9,99.7,,
30-Nov-2010,Belfast,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,14,2,1,0,0,0,17,82.4,,,,
30-Nov-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,775,163,80,2,0,0,"1,020",,99.8,100.0,,
30-Nov-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,903,28,6,0,0,0,937,96.4,,,,
30-Nov-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - PERFUSION STUDIES,ROUTINE,23,77,28,2,0,0,130,,98.5,100.0,,
30-Nov-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - PERFUSION STUDIES,URGENT,7,9,0,0,0,0,16,43.8,,,,
30-Nov-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,ROUTINE,14,37,4,5,1,90,151,,36.4,40.4,,
30-Nov-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,URGENT,13,6,3,1,1,5,29,44.8,,,,
30-Nov-2010,Northern,IMAGING,BARIUM ENEMA,ROUTINE,39,3,4,0,0,0,46,,100.0,100.0,,
30-Nov-2010,Northern,IMAGING,BARIUM ENEMA,URGENT,13,0,0,0,0,0,13,100.0,,,,
30-Nov-2010,Northern,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,733,77,28,3,0,0,841,,99.6,100.0,,
30-Nov-2010,Northern,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,646,9,5,0,0,0,660,97.9,,,,
30-Nov-2010,Northern,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,213,77,18,1,0,1,310,,99.4,99.7,,
30-Nov-2010,Northern,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,82,18,5,1,0,0,106,77.4,,,,
30-Nov-2010,Northern,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"2,045",156,46,18,2,2,"2,269",,99.0,99.9,,
30-Nov-2010,Northern,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,428,6,1,1,0,1,437,97.9,,,,
30-Nov-2010,Northern,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,71,33,23,6,0,4,137,,92.7,97.1,,
30-Nov-2010,Northern,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,28,5,4,0,0,0,37,75.7,,,,
30-Nov-2010,Northern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,211,24,8,9,114,2,368,,66.0,99.5,,
30-Nov-2010,Northern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,19,7,1,0,0,0,27,70.4,,,,
30-Nov-2010,Northern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - PERFUSION STUDIES,ROUTINE,13,5,1,1,0,0,20,,95.0,100.0,,
30-Nov-2010,Northern,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,ROUTINE,0,0,9,3,0,1,13,,69.2,92.3,,
30-Nov-2010,Northern,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,URGENT,0,0,1,1,0,0,2,0.0,,,,
30-Nov-2010,South Eastern,IMAGING,BARIUM ENEMA,ROUTINE,118,12,1,0,0,0,131,,100.0,100.0,,
30-Nov-2010,South Eastern,IMAGING,BARIUM ENEMA,URGENT,5,1,0,0,0,0,6,83.3,,,,
30-Nov-2010,South Eastern,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,"1,079",130,17,2,0,0,"1,228",,99.8,100.0,,
30-Nov-2010,South Eastern,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,210,36,1,0,1,0,248,84.7,,,,
30-Nov-2010,South Eastern,IMAGING,DEXA SCAN,ROUTINE,39,27,0,0,0,0,66,,100.0,100.0,,
30-Nov-2010,South Eastern,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,313,118,31,4,1,1,468,,98.7,99.8,,
30-Nov-2010,South Eastern,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,23,23,5,0,0,0,51,45.1,,,,
30-Nov-2010,South Eastern,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,780",214,64,11,0,8,"2,077",,99.1,99.6,,
30-Nov-2010,South Eastern,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,107,9,0,1,0,0,117,91.5,,,,
30-Nov-2010,South Eastern,PHYSIOLOGICAL MEASUREMENT,AUDIOLOGY - PURE TONE AUDIOMETRY,ROUTINE,837,0,0,0,0,0,837,,100.0,100.0,,
30-Nov-2010,South Eastern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,466,132,38,8,0,4,648,,98.1,99.4,,
30-Nov-2010,South Eastern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,28,3,0,1,1,3,36,77.8,,,,
30-Nov-2010,South Eastern,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,ROUTINE,26,4,8,1,1,0,40,,95.0,100.0,,
30-Nov-2010,Southern,IMAGING,BARIUM ENEMA,ROUTINE,45,31,47,17,6,4,150,,82.0,97.3,,
30-Nov-2010,Southern,IMAGING,BARIUM ENEMA,URGENT,43,27,7,14,8,3,102,42.2,,,,
30-Nov-2010,Southern,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,543,61,24,161,52,18,859,,73.1,97.9,,
30-Nov-2010,Southern,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,995,144,67,42,13,17,"1,278",77.9,,,,
30-Nov-2010,Southern,IMAGING,DEXA SCAN,ROUTINE,132,95,7,0,0,0,234,,100.0,100.0,,
30-Nov-2010,Southern,IMAGING,DEXA SCAN,URGENT,1,0,0,0,0,0,1,100.0,,,,
30-Nov-2010,Southern,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,165,90,83,70,29,17,454,,74.4,96.3,,
30-Nov-2010,Southern,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,190,55,15,10,6,7,283,67.1,,,,
30-Nov-2010,Southern,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,654",269,27,13,2,12,"1,977",,98.6,99.4,,
30-Nov-2010,Southern,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,682,94,5,3,0,1,785,86.9,,,,
30-Nov-2010,Southern,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,35,75,61,17,5,1,194,,88.1,99.5,,
30-Nov-2010,Southern,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,29,42,22,2,5,0,100,29.0,,,,
30-Nov-2010,Southern,PHYSIOLOGICAL MEASUREMENT,AUDIOLOGY - PURE TONE AUDIOMETRY,ROUTINE,87,11,5,0,1,5,109,,94.5,95.4,,
30-Nov-2010,Southern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,250,121,75,16,6,20,488,,91.4,95.9,,
30-Nov-2010,Southern,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,46,32,16,2,5,7,108,42.6,,,,
30-Nov-2010,Southern,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,ROUTINE,31,29,3,1,0,0,64,,98.4,100.0,,
30-Nov-2010,Southern,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,URGENT,4,0,0,0,0,0,4,100.0,,,,
30-Nov-2010,Southern,PHYSIOLOGICAL MEASUREMENT,RESPIRATORY PHYSIOLOGY - SLEEP STUDIES,ROUTINE,38,0,0,0,0,0,38,,100.0,100.0,,
30-Nov-2010,Southern,PHYSIOLOGICAL MEASUREMENT,RESPIRATORY PHYSIOLOGY - SLEEP STUDIES,URGENT,5,0,0,0,0,0,5,100.0,,,,
30-Nov-2010,Southern,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,ROUTINE,1,10,6,6,4,3,30,,56.7,90.0,,
30-Nov-2010,Western,IMAGING,BARIUM ENEMA,ROUTINE,69,11,2,0,0,0,82,,100.0,100.0,,
30-Nov-2010,Western,IMAGING,BARIUM ENEMA,URGENT,10,2,0,0,0,0,12,83.3,,,,
30-Nov-2010,Western,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,790,36,15,0,0,5,846,,99.4,99.4,,
30-Nov-2010,Western,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,469,41,16,0,0,0,526,89.2,,,,
30-Nov-2010,Western,IMAGING,DEXA SCAN,ROUTINE,322,14,0,0,1,5,342,,98.2,98.5,,
30-Nov-2010,Western,IMAGING,DEXA SCAN,URGENT,15,2,0,0,0,0,17,88.2,,,,
30-Nov-2010,Western,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,43,27,15,1,1,2,89,,95.5,97.8,,
30-Nov-2010,Western,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,152,70,29,6,5,0,262,58.0,,,,
30-Nov-2010,Western,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,793",194,34,25,4,34,"2,084",,97.0,98.4,,
30-Nov-2010,Western,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,476,73,9,5,1,3,567,84.0,,,,
30-Nov-2010,Western,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,39,31,16,7,0,0,93,,92.5,100.0,,
30-Nov-2010,Western,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,67,21,1,0,0,0,89,75.3,,,,
30-Nov-2010,Western,PHYSIOLOGICAL MEASUREMENT,AUDIOLOGY - PURE TONE AUDIOMETRY,ROUTINE,91,0,0,0,0,0,91,,100.0,100.0,,
30-Nov-2010,Western,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,20,216,141,96,4,3,480,,78.5,99.4,,
30-Nov-2010,Western,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,30,0,1,0,0,0,31,96.8,,,,
30-Nov-2010,Western,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,ROUTINE,0,3,0,0,0,0,3,,100.0,100.0,,
30-Nov-2010,Western,PHYSIOLOGICAL MEASUREMENT,RESPIRATORY PHYSIOLOGY - SLEEP STUDIES,ROUTINE,22,13,2,0,0,0,37,,100.0,100.0,,
30-Nov-2010,Western,PHYSIOLOGICAL MEASUREMENT,RESPIRATORY PHYSIOLOGY - SLEEP STUDIES,URGENT,17,3,1,0,0,0,21,81.0,,,,
30-Nov-2010,Western,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,ROUTINE,15,12,1,0,0,0,28,,100.0,100.0,,
30-Nov-2010,Western,PHYSIOLOGICAL MEASUREMENT,URODYNAMICS - PRESSURES & FLOWS,URGENT,1,0,0,0,0,0,1,100.0,,,,
31-Dec-2010,Belfast,IMAGING,BARIUM ENEMA,ROUTINE,326,11,2,1,0,0,340,,99.7,100.0,,
31-Dec-2010,Belfast,IMAGING,BARIUM ENEMA,URGENT,6,0,0,0,0,0,6,100.0,,,,
31-Dec-2010,Belfast,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,266,124,66,6,1,0,463,,98.5,100.0,,
31-Dec-2010,Belfast,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,92,1,5,0,0,0,98,93.9,,,,
31-Dec-2010,Belfast,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,180,19,10,7,2,0,218,,95.9,100.0,,
31-Dec-2010,Belfast,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,144,9,0,0,1,0,154,93.5,,,,
31-Dec-2010,Belfast,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,429",123,76,22,2,5,"1,657",,98.2,99.7,,
31-Dec-2010,Belfast,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,236,10,16,1,0,0,263,89.7,,,,
31-Dec-2010,Belfast,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,181,49,5,0,1,0,236,,99.6,100.0,,
31-Dec-2010,Belfast,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,11,3,0,0,0,0,14,78.6,,,,
31-Dec-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,754,71,22,0,0,0,847,,100.0,100.0,,
31-Dec-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,741,22,0,0,0,0,763,97.1,,,,
31-Dec-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - PERFUSION STUDIES,ROUTINE,21,65,14,0,0,0,100,,100.0,100.0,,
31-Dec-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - PERFUSION STUDIES,URGENT,12,6,0,0,0,0,18,66.7,,,,
31-Dec-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,ROUTINE,6,15,17,0,0,29,67,,56.7,56.7,,
31-Dec-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,URGENT,6,10,4,0,0,0,20,30.0,,,,
31-Dec-2010,Northern,IMAGING,BARIUM ENEMA,ROUTINE,38,4,1,5,2,0,50,,86.0,100.0,,
31-Dec-2010,Northern,IMAGING,BARIUM ENEMA,URGENT,8,1,0,0,1,0,10,80.0,,,,
31-Dec-2010,Northern,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,681,76,9,0,0,0,766,,100.0,100.0,,
